DATE,XTEXVA01CNM667S
2005-01-01,57298106468.0185
2005-02-01,57739156662.6602
2005-03-01,60981172147.7815
2005-04-01,61256801937.3285
2005-05-01,61292383264.6718
2005-06-01,64347646647.327805
2005-07-01,64082604532.8148
2005-08-01,64749901450.54581
2005-09-01,65007803860.192696
2005-10-01,68167317812.8505
2005-11-01,67078151361.4899
2005-12-01,69373734554.99611
2006-01-01,71439689325.72081
2006-02-01,70580954736.9182
2006-03-01,79359982918.45659
2006-04-01,77354818971.74399
2006-05-01,75838239079.44609
2006-06-01,79461413024.7711
2006-07-01,78297403836.5597
2006-08-01,85285452997.95511
2006-09-01,85716419153.1044
2006-10-01,87365794673.7792
2006-11-01,88551650156.03749
2006-12-01,88019452690.0591
2007-01-01,92516176086.5036
2007-02-01,107542531985.48901
2007-03-01,87655898384.5537
2007-04-01,97902435646.7872
2007-05-01,96974745535.8463
2007-06-01,102559428394.766
2007-07-01,102903489865.88199
2007-08-01,104235238142.317
2007-09-01,106167366261.332
2007-10-01,105802974136.578
2007-11-01,107770043237.918
2007-12-01,106800724009.811
2008-01-01,115530019557.815
2008-02-01,114510104482.694
2008-03-01,116825863865.327
2008-04-01,119273479725.173
2008-05-01,124559065350.923
2008-06-01,120736194490.985
2008-07-01,127838644885.14
2008-08-01,129553823424.30801
2008-09-01,125970969845.89
2008-10-01,125895112023.054
2008-11-01,107166541608.279
2008-12-01,100138203615.28801
2009-01-01,95206734287.0765
2009-02-01,88889584908.496
2009-03-01,95895863055.72029
2009-04-01,93306982820.7119
2009-05-01,91864622081.2498
2009-06-01,94297962382.4848
2009-07-01,98216578096.546
2009-08-01,99909131775.7953
2009-09-01,107225872069.942
2009-10-01,109971240098.48799
2009-11-01,105580618199.01999
2009-12-01,117439249823.152
2010-01-01,114729628202.187
2010-02-01,131450371069.16101
2010-03-01,117105058125.686
2010-04-01,121478981990.866
2010-05-01,133954237607.984
2010-06-01,134635882535.186
2010-07-01,136436633408.875
2010-08-01,133066390891.35999
2010-09-01,135084109066.341
2010-10-01,137530099355.91998
2010-11-01,142196945997.675
2010-12-01,138867538481.328
2011-01-01,156196725334.948
2011-02-01,137529109229.543
2011-03-01,158008396815.27298
2011-04-01,158919529579.93002
2011-05-01,155911896941.928
2011-06-01,158051781399.295
2011-07-01,166412634589.164
2011-08-01,163513578722.47
2011-09-01,158480132354.741
2011-10-01,159494728807.664
2011-11-01,162550334152.78998
2011-12-01,158565343487.245
2012-01-01,152030935875.409
2012-02-01,161644971706.634
2012-03-01,174009922603.239
2012-04-01,166458729223.321
2012-05-01,176732680678.095
2012-06-01,178245013577.137
2012-07-01,167827212263.165
2012-08-01,168052240828.969
2012-09-01,178333172415.29
