DATAFLOW,LAST UPDATE,freq,unit,tra_meas,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-01,738684,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-02,742130,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-03,898893,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-04,933839,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-05,1090305,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-06,1136186,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-07,1205868,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-08,1163961,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-09,1207138,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-10,1026473,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-11,862499,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2005-12,852214,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-01,819200,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-02,823444,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-03,970320,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-04,1051788,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-05,1195448,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-06,1259070,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-07,1317740,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-08,1272889,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-09,1312287,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2006-10,1138297,
