DATE,IS231
2005-03-01,103.8
2005-04-01,.
2005-05-01,.
2005-06-01,107.2
2005-07-01,.
2005-08-01,.
2005-09-01,112.4
2005-10-01,.
2005-11-01,.
2005-12-01,112.0
2006-01-01,111.4
2006-02-01,113.0
2006-03-01,113.5
2006-04-01,113.6
2006-05-01,115.6
2006-06-01,117.2
2006-07-01,116.6
2006-08-01,116.1
2006-09-01,116.9
2006-10-01,115.8
2006-11-01,114.2
2006-12-01,113.8
2007-01-01,113.3
2007-02-01,112.4
2007-03-01,112.3
2007-04-01,113.2
2007-05-01,114.3
2007-06-01,114.3
2007-07-01,114.9
2007-08-01,116.2
2007-09-01,117.0
2007-10-01,118.9
2007-11-01,121.0
2007-12-01,124.3
2008-01-01,126.7
2008-02-01,127.1
2008-03-01,128.9
2008-04-01,132.1
2008-05-01,137.1
2008-06-01,143.7
2008-07-01,149.1
2008-08-01,149.6
2008-09-01,147.0
2008-10-01,142.3
2008-11-01,138.7
2008-12-01,130.4
2009-01-01,125.2
2009-02-01,122.2
2009-03-01,119.7
2009-04-01,115.4
2009-05-01,112.7
2009-06-01,112.1
2009-07-01,112.4
2009-08-01,111.0
2009-09-01,111.9
2009-10-01,112.4
2009-11-01,113.3
2009-12-01,114.6
2010-01-01,115.5
2010-02-01,116.3
2010-03-01,118.1
2010-04-01,119.2
2010-05-01,120.9
2010-06-01,122.4
2010-07-01,121.6
2010-08-01,121.7
2010-09-01,122.8
2010-10-01,124.4
2010-11-01,124.7
2010-12-01,126.2
2011-01-01,129.8
2011-02-01,132.4
2011-03-01,136.4
2011-04-01,139.6
2011-05-01,143.5
2011-06-01,142.1
2011-07-01,141.7
2011-08-01,143.6
2011-09-01,143.9
2011-10-01,144.5
2011-11-01,143.6
2011-12-01,144.6
2012-01-01,144.1
2012-02-01,144.6
2012-03-01,146.3
2012-04-01,150.0
2012-05-01,150.3
2012-06-01,148.9
2012-07-01,144.8
2012-08-01,144.8
2012-09-01,146.8
2012-10-01,147.3
2012-11-01,149.2
2012-12-01,148.0
2013-01-01,147.8
2013-02-01,147.9
2013-03-01,148.5
2013-04-01,148.6
2013-05-01,147.3
2013-06-01,145.4
2013-07-01,145.4
2013-08-01,145.6
2013-09-01,145.8
2013-10-01,146.2
2013-11-01,146.6
2013-12-01,146.7
2014-01-01,148.0
2014-02-01,148.0
2014-03-01,148.6
2014-04-01,148.3
2014-05-01,153.0
2014-06-01,153.1
2014-07-01,153.1
2014-08-01,153.1
2014-09-01,153.0
2014-10-01,153.0
2014-11-01,152.8
2014-12-01,152.3
2015-01-01,151.3
2015-02-01,149.9
2015-03-01,149.0
2015-04-01,145.7
2015-05-01,149.1
2015-06-01,148.7
2015-07-01,150.8
2015-08-01,149.3
2015-09-01,148.4
2015-10-01,145.7
2015-11-01,144.7
2015-12-01,144.3
2016-01-01,144.5
2016-02-01,146.0
2016-03-01,141.0
2016-04-01,138.2
2016-05-01,138.4
2016-06-01,138.0
2016-07-01,137.2
2016-08-01,136.8
2016-09-01,136.9
2016-10-01,137.1
2016-11-01,136.4
2016-12-01,136.5
2017-01-01,139.8
2017-02-01,138.9
2017-03-01,139.4
2017-04-01,137.1
2017-05-01,139.5
2017-06-01,141.0
2017-07-01,143.1
2017-08-01,141.0
2017-09-01,139.0
2017-10-01,140.4
2017-11-01,142.4
2017-12-01,140.9
2018-01-01,140.6
2018-02-01,137.6
2018-03-01,142.3
2018-04-01,142.2
2018-05-01,140.2
2018-06-01,139.6
2018-07-01,144.5
2018-08-01,149.3
2018-09-01,145.1
2018-10-01,144.3
2018-11-01,146.4
2018-12-01,146.0
2019-01-01,144.2
2019-02-01,144.5
2019-03-01,145.2
2019-04-01,144.3
2019-05-01,144.8
2019-06-01,144.8
2019-07-01,148.6
2019-08-01,146.4
2019-09-01,141.8
2019-10-01,143.2
2019-11-01,146.3
2019-12-01,147.6
2020-01-01,149.9
2020-02-01,190.1
2020-03-01,153.7
2020-04-01,157.4
2020-05-01,158.4
2020-06-01,149.8
2020-07-01,150.6
2020-08-01,150.4
2020-09-01,144.0
2020-10-01,137.4
2020-11-01,144.1
2020-12-01,151.4
2021-01-01,151.2
2021-02-01,163.4
2021-03-01,164.0
2021-04-01,162.2
2021-05-01,149.2
2021-06-01,141.9
2021-07-01,147.5
2021-08-01,241.3
2021-09-01,150.2
2021-10-01,152.3
2021-11-01,200.4
2021-12-01,211.6
2022-01-01,223.0
2022-02-01,205.1
2022-03-01,211.7
2022-04-01,222.7
2022-05-01,219.8
2022-06-01,227.9
2022-07-01,217.3
2022-08-01,217.1
2022-09-01,230.8
2022-10-01,228.1
2022-11-01,195.2
2022-12-01,203.5
2023-01-01,193.8
2023-02-01,212.1
2023-03-01,195.9
2023-04-01,184.1
2023-05-01,175.0
2023-06-01,179.6
2023-07-01,167.2
2023-08-01,168.6
2023-09-01,176.1
