DATE,XTNTVA01INM664S
2005-01-01,-134936884580.498
2005-02-01,-128304906316.10999
2005-03-01,-140602198225.63998
2005-04-01,-160811538546.75
2005-05-01,-204936369840.889
2005-06-01,-167576291536.668
2005-07-01,-164530568940.673
2005-08-01,-178870942406.431
2005-09-01,-190610670690.277
2005-10-01,-135908837365.73099
2005-11-01,-160383444457.132
2005-12-01,-136963202476.709
2006-01-01,-175417169818.608
2006-02-01,-140347758202.161
2006-03-01,-172201571004.884
2006-04-01,-198509946330.579
2006-05-01,-194861414315.09
2006-06-01,-180855637442.694
2006-07-01,-188390059513.6
2006-08-01,-206079571186.845
2006-09-01,-303764150338.011
2006-10-01,-325702859823.08795
2006-11-01,-254589677661.754
2006-12-01,-212924762377.36
2007-01-01,-160973870359.53302
2007-02-01,-211466699562.409
2007-03-01,-244717332397.754
2007-04-01,-300145839281.373
2007-05-01,-314505521287.899
2007-06-01,-328393523632.72797
2007-07-01,-326397637779.875
2007-08-01,-307360927489.595
2007-09-01,-235384133401.71
2007-10-01,-254593932837.258
2007-11-01,-325725786344.276
2007-12-01,-213528001812.862
2008-01-01,-320548879148.513
2008-02-01,-292169452269.977
2008-03-01,-329652532557.874
2008-04-01,-470875125158.137
2008-05-01,-405201936329.73596
2008-06-01,-427711722801.44
2008-07-01,-494978527368.79004
2008-08-01,-687578851768.72
2008-09-01,-686392400717.22
2008-10-01,-528392933561.77405
2008-11-01,-585642531144.763
2008-12-01,-281692820681.62604
2009-01-01,-274076892640.22598
2009-02-01,-195662679870.74
2009-03-01,-254128758101.887
2009-04-01,-339946788565.635
2009-05-01,-344407285419.53
2009-06-01,-453598916385.063
2009-07-01,-322877007228.802
2009-08-01,-432283080003.482
2009-09-01,-330129948090.56604
2009-10-01,-486422308044.286
2009-11-01,-429456624924.278
2009-12-01,-525769257351.079
2010-01-01,-471080464387.994
2010-02-01,-556564590939.5591
2010-03-01,-504038868958.8
2010-04-01,-598886216296.876
2010-05-01,-530448818495.273
2010-06-01,-375831248263.512
2010-07-01,-560188761772.912
2010-08-01,-427980007659.36304
2010-09-01,-478673434369.772
2010-10-01,-562702545348.6229
2010-11-01,-215660165975.95398
2010-12-01,-350332965407.716
2011-01-01,-512172105202.131
2011-02-01,-529507903644.69696
2011-03-01,-307299946820.39105
2011-04-01,-587885092396.989
2011-05-01,-767077748716.45
2011-06-01,-648518396363.188
2011-07-01,-615663681974.108
2011-08-01,-665826412789.016
2011-09-01,-622779069858.766
2011-10-01,-818909471994.1381
2011-11-01,-726463246448.221
2011-12-01,-755482010333.376
2012-01-01,-927614176783.411
2012-02-01,-887291125277.77
2012-03-01,-818378115849.068
2012-04-01,-752969306363.505
2012-05-01,-847540335390.157
2012-06-01,-649779126490.738
2012-07-01,-915574807552.767
2012-08-01,-761021112297.3721
2012-09-01,-963430901663.8469
2012-10-01,-982855753666.168
2012-11-01,-857411546361.2421
2012-12-01,-958944990630.417
2013-01-01,-1036850802975.34
2013-02-01,-889939430228.515
2013-03-01,-741166247910.461
2013-04-01,-921224830201.3671
2013-05-01,-946798132951.974
2013-06-01,-694469241662.696
2013-07-01,-670687217977.8881
2013-08-01,-657692747988.021
2013-09-01,-407708966634.426
2013-10-01,-560528042770.811
2013-11-01,-512226056166.50903
2013-12-01,-614514918659.464
2014-01-01,-590676308772.47
2014-02-01,-635502912860.146
2014-03-01,-860153137784.446
2014-04-01,-591348879036.721
2014-05-01,-578493781756.296
2014-06-01,-764039851769.89
2014-07-01,-777435757822.203
2014-08-01,-644194146538.636
2014-09-01,-877173579510.984
2014-10-01,-736539937463.5919
2014-11-01,-929917458561.559
2014-12-01,-547945318427.13696
2015-01-01,-500409616307.24097
2015-02-01,-516315724249.63995
2015-03-01,-847541465183.98
2015-04-01,-707411143753.199
2015-05-01,-604410640046.189
2015-06-01,-722029142531.2949
2015-07-01,-758827235723.754
2015-08-01,-809378024856.103
2015-09-01,-672195200096.6399
2015-10-01,-561133432166.173
2015-11-01,-610216388741.5
2015-12-01,-733140545321.055
2016-01-01,-536324041118.448
2016-02-01,-595498494722.0659
2016-03-01,-435000312626.96
2016-04-01,-321065350979.06195
2016-05-01,-336850601590.401
2016-06-01,-562017137373.455
2016-07-01,-469577858214.57996
2016-08-01,-486248495099.75397
2016-09-01,-606767186279.693
2016-10-01,-677123304975.9921
2016-11-01,-814460523733.421
2016-12-01,-698576718049.9501
2017-01-01,-682634686280.391
2017-02-01,-794514649019.718
2017-03-01,-889095462331.533
2017-04-01,-954776266835.288
2017-05-01,-833471166022.599
2017-06-01,-912403470516.137
2017-07-01,-728764269188.216
2017-08-01,-780296635058.868
2017-09-01,-623299933288.268
2017-10-01,-868262903964.49
2017-11-01,-865276165272.496
2017-12-01,-908039787344.73
2018-01-01,-963536887384.559
2018-02-01,-905062361369.036
2018-03-01,-1063147325933.7499
2018-04-01,-937010905798.081
2018-05-01,-907678830717.224
2018-06-01,-1231467903517.07
2018-07-01,-1210787392697.82
2018-08-01,-1201836447452.0
2018-09-01,-1117820290213.5698
2018-10-01,-1189432626800.53
2018-11-01,-1137119625708.3
2018-12-01,-1018323856205.14
2019-01-01,-1049616709853.8899
2019-02-01,-842566045678.9181
2019-03-01,-1004350189895.89
2019-04-01,-1135838502407.25
2019-05-01,-1061178454342.4
2019-06-01,-1169218451371.1199
2019-07-01,-895149921824.384
2019-08-01,-963781805567.171
2019-09-01,-845790854297.046
2019-10-01,-719474051758.42
2019-11-01,-805989708364.14
2019-12-01,-862653840737.727
2020-01-01,-1073571536002.1
2020-02-01,-958258666755.001
2020-03-01,-894569745885.22
2020-04-01,-529268691578.01105
2020-05-01,-237474103546.313
2020-06-01,39153289200.80399
2020-07-01,-302448908744.662
2020-08-01,-601619185630.759
2020-09-01,-207572959917.147
2020-10-01,-573678469656.242
2020-11-01,-655106494862.6791
2020-12-01,-1098730513485.32
2021-01-01,-1081670907890.9701
2021-02-01,-1111754025254.43
2021-03-01,-1217445893130.07
2021-04-01,-1112704692285.69
2021-05-01,-397670745227.398
2021-06-01,-729163177628.6659
2021-07-01,-718184236529.6339
2021-08-01,-834066810217.514
2021-09-01,-1626843241655.03
2021-10-01,-1214308320579.27
2021-11-01,-1417401093323.3
2021-12-01,-1504576709278.42
2022-01-01,-1314986425761.6301
2022-02-01,-1649185806570.75
2022-03-01,-1705231234320.75
2022-04-01,-1433832695010.72
2022-05-01,-1584461379474.73
2022-06-01,-1762769884201.68
2022-07-01,-1966344026046.23
2022-08-01,-1909667781615.27
2022-09-01,-2208460391368.85
2022-10-01,-2041347370789.89
2022-11-01,-1608064841758.64
2022-12-01,-1847994903329.95
