DATE,RBINBIS
2005-01-01,91.44
2005-02-01,91.24
2005-03-01,90.78
2005-04-01,92.41
2005-05-01,93.08
2005-06-01,94.94
2005-07-01,96.63
2005-08-01,94.98
2005-09-01,94.58
2005-10-01,93.71
2005-11-01,93.12
2005-12-01,92.04
2006-01-01,93.6
2006-02-01,93.96
2006-03-01,93.36
2006-04-01,92.66
2006-05-01,90.45
2006-06-01,91.13
2006-07-01,90.71
2006-08-01,90.37
2006-09-01,92.01
2006-10-01,94.09
2006-11-01,94.07
2006-12-01,92.7
2007-01-01,94.23
2007-02-01,93.97
2007-03-01,93.84
2007-04-01,98.06
2007-05-01,100.75
2007-06-01,100.94
2007-07-01,100.97
2007-08-01,100.42
2007-09-01,100.34
2007-10-01,100.72
2007-11-01,99.04
2007-12-01,99.06
2008-01-01,98.74
2008-02-01,97.75
2008-03-01,96.1
2008-04-01,97.23
2008-05-01,92.68
2008-06-01,93.17
2008-07-01,93.02
2008-08-01,95.26
2008-09-01,91.52
2008-10-01,89.73
2008-11-01,90.66
2008-12-01,88.56
2009-01-01,88.61
2009-02-01,88.48
2009-03-01,85.01
2009-04-01,86.44
2009-05-01,87.72
2009-06-01,88.55
2009-07-01,88.01
2009-08-01,88.28
2009-09-01,87.52
2009-10-01,89.88
2009-11-01,90.91
2009-12-01,91.73
2010-01-01,94.72
2010-02-01,94.87
2010-03-01,97.01
2010-04-01,100.74
2010-05-01,100.54
2010-06-01,100.55
2010-07-01,98.6
2010-08-01,98.23
2010-09-01,98.83
2010-10-01,99.78
2010-11-01,99.25
2010-12-01,101.67
2011-01-01,101.21
2011-02-01,99.98
2011-03-01,100.58
2011-04-01,101.86
2011-05-01,100.49
2011-06-01,100.97
2011-07-01,102.44
2011-08-01,100.26
2011-09-01,98.04
2011-10-01,95.62
2011-11-01,93.28
2011-12-01,90.82
2012-01-01,93.91
2012-02-01,96.57
2012-03-01,95.19
2012-04-01,93.84
2012-05-01,90.67
2012-06-01,89.71
2012-07-01,91.53
2012-08-01,91.27
2012-09-01,92.2
2012-10-01,93.92
2012-11-01,91.46
2012-12-01,90.91
2013-01-01,90.52
2013-02-01,91.7
2013-03-01,91.78
2013-04-01,92.27
2013-05-01,92.0
2013-06-01,88.08
2013-07-01,87.85
2013-08-01,83.77
2013-09-01,83.07
2013-10-01,86.0
2013-11-01,86.26
2013-12-01,85.74
2014-01-01,85.08
2014-02-01,84.6
2014-03-01,86.5
2014-04-01,87.8
2014-05-01,89.63
2014-06-01,89.87
2014-07-01,91.21
2014-08-01,91.25
2014-09-01,92.01
2014-10-01,92.14
2014-11-01,93.04
2014-12-01,92.18
2015-01-01,95.19
2015-02-01,95.83
2015-03-01,96.65
2015-04-01,95.98
2015-05-01,94.11
2015-06-01,95.42
2015-07-01,97.08
2015-08-01,96.91
2015-09-01,96.09
2015-10-01,97.68
2015-11-01,97.94
2015-12-01,97.3
2016-01-01,97.64
2016-02-01,94.7
2016-03-01,95.4
2016-04-01,95.62
2016-05-01,96.46
2016-06-01,97.09
2016-07-01,98.55
2016-08-01,98.11
2016-09-01,98.14
2016-10-01,99.39
2016-11-01,99.49
2016-12-01,99.78
2017-01-01,98.7
2017-02-01,99.47
2017-03-01,101.28
2017-04-01,102.83
2017-05-01,102.44
2017-06-01,102.1
2017-07-01,103.14
2017-08-01,103.37
2017-09-01,101.29
2017-10-01,101.83
2017-11-01,103.2
2017-12-01,102.99
2018-01-01,101.56
2018-02-01,98.51
2018-03-01,97.73
2018-04-01,97.35
2018-05-01,96.82
2018-06-01,97.92
2018-07-01,98.69
2018-08-01,98.59
2018-09-01,94.61
2018-10-01,93.5
2018-11-01,96.51
2018-12-01,97.26
2019-01-01,96.24
2019-02-01,95.05
2019-03-01,97.76
2019-04-01,98.38
2019-05-01,99.22
2019-06-01,100.0
2019-07-01,101.72
2019-08-01,99.96
2019-09-01,100.22
2019-10-01,101.01
2019-11-01,100.86
2019-12-01,102.04
2020-01-01,101.16
2020-02-01,100.94
2020-03-01,98.04
2020-04-01,99.24
2020-05-01,99.58
2020-06-01,98.33
2020-07-01,99.77
2020-08-01,99.42
2020-09-01,101.53
2020-10-01,102.41
2020-11-01,100.77
2020-12-01,98.8
2021-01-01,98.1
2021-02-01,98.35
2021-03-01,99.43
2021-04-01,97.39
2021-05-01,99.77
2021-06-01,99.77
2021-07-01,100.08
2021-08-01,100.81
2021-09-01,101.32
2021-10-01,100.71
2021-11-01,102.23
2021-12-01,100.94
2022-01-01,101.24
2022-02-01,99.73
2022-03-01,99.47
2022-04-01,101.04
2022-05-01,101.92
2022-06-01,100.98
2022-07-01,100.88
2022-08-01,101.44
2022-09-01,103.03
2022-10-01,102.16
2022-11-01,100.94
2022-12-01,97.15
