DATE,LFWA64TTJPM647S
1970-01-01,70983116.106
1970-02-01,71105826.788
1970-03-01,71251812.373
1970-04-01,71342059.72999999
1970-05-01,71416224.14799999
1970-06-01,71483403.27
1970-07-01,71494627.622
1970-08-01,71610226.825
1970-09-01,71708945.17799999
1970-10-01,71720895.759
1970-11-01,71773096.038
1970-12-01,71755260.182
1971-01-01,71799952.036
1971-02-01,71855554.79900001
1971-03-01,72027477.185
1971-04-01,72053788.042
1971-05-01,72148902.295
1971-06-01,72208388.395
1971-07-01,72231111.283
1971-08-01,72341301.265
1971-09-01,72347843.931
1971-10-01,72405037.295
1971-11-01,72528622.68800001
1971-12-01,72514506.36299999
1972-01-01,72551247.502
1972-02-01,72424539.63100001
1972-03-01,72393062.50099999
1972-04-01,72472401.648
1972-05-01,72671018.97
1972-06-01,72686964.99700001
1972-07-01,73263778.172
1972-08-01,73369224.665
1972-09-01,73438314.037
1972-10-01,73603008.221
1972-11-01,73615440.72
1972-12-01,73628016.705
1973-01-01,73816958.155
1973-02-01,73871330.42899999
1973-03-01,73779366.889
1973-04-01,73831634.924
1973-05-01,74006642.775
1973-06-01,74072633.221
1973-07-01,74018444.09400001
1973-08-01,74052588.00600001
1973-09-01,74184087.198
1973-10-01,74302212.82699999
1973-11-01,74408659.445
1973-12-01,74255179.561
1974-01-01,74360038.057
1974-02-01,74548052.259
1974-03-01,74517949.148
1974-04-01,74599574.373
1974-05-01,74749865.14199999
1974-06-01,74796786.28
1974-07-01,74691201.299
1974-08-01,74816291.89999999
1974-09-01,74851576.006
1974-10-01,74908268.732
1974-11-01,74927893.732
1974-12-01,74900473.584
1975-01-01,74915893.282
1975-02-01,75024840.50400001
1975-03-01,75052628.022
1975-04-01,75186947.42199999
1975-05-01,75338866.079
1975-06-01,75499253.117
1975-07-01,75509639.82900001
1975-08-01,75517915.895
1975-09-01,75587634.431
1975-10-01,75632326.709
1975-11-01,75654440.02399999
1975-12-01,75747381.991
1976-01-01,75797614.132
1976-02-01,75767387.354
