"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-01",101.0849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9272,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.6945,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.5035,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.5724,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.7312,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.1318,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.40324,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.16681,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.55865,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.1433,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.4072,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.3578,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.2247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-04",99.9697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-05",99.68392,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-06",99.66288,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-07",99.69952,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-08",99.7991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.1186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.5441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.7782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.8951,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.9276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.7015,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.4261,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.2498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.1887,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.1475,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.124,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-08",99.89185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-09",99.63338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.33501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.04545,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-12",98.87508,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-01",98.71132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.31721,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-03",97.84206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.30647,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-05",96.92194,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.80101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.00693,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.26781,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.34492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.9871,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.72694,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.71937,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.72667,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.70027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.90499,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.3593,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.75021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.91205,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-07",97.86621,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-08",97.9105,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.09079,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.12084,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.13506,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-12",98.31159,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-01",98.47522,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.53099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.52785,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.50718,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.5059,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.40969,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",98.12177,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.94617,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.89474,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.99438,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.25465,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.50836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.61788,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.56826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.32188,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.26281,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.24693,
