"CubeId";"zimoma"
"PublishingDate";"2023-11-01 14:30"

"Date";"D0";"Value"
"2005-01";"SARON";"0.654176"
"2005-01";"1TGT";"0.6"
"2005-01";"EG3M";"0.666"
"2005-01";"3M0";"0.75"
"2005-01";"SOFR";
"2005-01";"3M1";"2.75"
"2005-01";"TONA";"0.001"
"2005-01";"3M2";"0.05375"
"2005-01";"SONIA";"4.6468"
"2005-01";"3M3";"4.86813"
"2005-01";"ESTR";
"2005-01";"EURIBOR";"2.142"
"2005-02";"SARON";"0.67587"
"2005-02";"1TGT";"0.63"
"2005-02";"EG3M";"0.709"
"2005-02";"3M0";"0.75833"
"2005-02";"SOFR";
"2005-02";"3M1";"2.92"
"2005-02";"TONA";"0.001"
"2005-02";"3M2";"0.05125"
"2005-02";"SONIA";"5.2804"
"2005-02";"3M3";"4.95625"
"2005-02";"ESTR";
"2005-02";"EURIBOR";"2.136"
"2005-03";"SARON";"0.809343"
"2005-03";"1TGT";"0.75"
"2005-03";"EG3M";"0.694"
"2005-03";"3M0";"0.775"
"2005-03";"SOFR";
"2005-03";"3M1";"3.12"
"2005-03";"TONA";"0.022"
"2005-03";"3M2";"0.05438"
"2005-03";"SONIA";"4.8668"
"2005-03";"3M3";"4.98313"
"2005-03";"ESTR";
"2005-03";"EURIBOR";"2.147"
"2005-04";"SARON";"0.646173"
"2005-04";"1TGT";"0.64"
"2005-04";"EG3M";"0.602"
"2005-04";"3M0";"0.76"
"2005-04";"SOFR";
"2005-04";"3M1";"3.21"
"2005-04";"TONA";"0.001"
"2005-04";"3M2";"0.05188"
"2005-04";"SONIA";"4.8697"
"2005-04";"3M3";"4.93875"
"2005-04";"ESTR";
"2005-04";"EURIBOR";"2.126"
"2005-05";"SARON";"0.665846"
"2005-05";"1TGT";"0.66"
"2005-05";"EG3M";"0.682"
"2005-05";"3M0";"0.75"
"2005-05";"SOFR";
"2005-05";"3M1";"3.3375"
"2005-05";"TONA";"0.002"
"2005-05";"3M2";"0.05375"
"2005-05";"SONIA";"4.756"
"2005-05";"3M3";"4.86688"
"2005-05";"ESTR";
"2005-05";"EURIBOR";"2.127"
"2005-06";"SARON";"0.631008"
"2005-06";"1TGT";"0.58"
"2005-06";"EG3M";"0.662"
"2005-06";"3M0";"0.74833"
"2005-06";"SOFR";
"2005-06";"3M1";"3.51625"
"2005-06";"TONA";"0.001"
"2005-06";"3M2";"0.055"
"2005-06";"SONIA";"4.8483"
"2005-06";"3M3";"4.75"
"2005-06";"ESTR";
"2005-06";"EURIBOR";"2.106"
"2005-07";"SARON";"0.678098"
"2005-07";"1TGT";"0.63"
"2005-07";"EG3M";"0.65"
"2005-07";"3M0";"0.755"
"2005-07";"SOFR";
"2005-07";"3M1";"3.7"
"2005-07";"TONA";"0.001"
"2005-07";"3M2";"0.0575"
"2005-07";"SONIA";"4.6204"
"2005-07";"3M3";"4.61938"
"2005-07";"ESTR";
"2005-07";"EURIBOR";"2.125"
"2005-08";"SARON";"0.677405"
"2005-08";"1TGT";"0.63"
"2005-08";"EG3M";"0.678"
"2005-08";"3M0";"0.76"
"2005-08";"SOFR";
"2005-08";"3M1";"3.87"
"2005-08";"TONA";"0.001"
"2005-08";"3M2";"0.05688"
"2005-08";"SONIA";"4.7577"
"2005-08";"3M3";"4.58938"
"2005-08";"ESTR";
"2005-08";"EURIBOR";"2.134"
"2005-09";"SARON";"0.674366"
"2005-09";"1TGT";"0.63"
"2005-09";"EG3M";"0.686"
"2005-09";"3M0";"0.79"
"2005-09";"SOFR";
"2005-09";"3M1";"4.065"
"2005-09";"TONA";"0.004"
"2005-09";"3M2";"0.06375"
"2005-09";"SONIA";"4.3942"
"2005-09";"3M3";"4.6"
"2005-09";"ESTR";
"2005-09";"EURIBOR";"2.176"
"2005-10";"SARON";"0.673334"
"2005-10";"1TGT";"0.61"
"2005-10";"EG3M";"0.745"
"2005-10";"3M0";"0.85"
"2005-10";"SOFR";
"2005-10";"3M1";"4.26"
"2005-10";"TONA";"0"
"2005-10";"3M2";"0.06313"
"2005-10";"SONIA";"4.3925"
"2005-10";"3M3";"4.60688"
"2005-10";"ESTR";
"2005-10";"EURIBOR";"2.263"
"2005-11";"SARON";"0.68404"
"2005-11";"1TGT";"0.63"
"2005-11";"EG3M";"0.868"
"2005-11";"3M0";"1.01"
"2005-11";"SOFR";
"2005-11";"3M1";"4.42"
"2005-11";"TONA";"0.001"
"2005-11";"3M2";"0.06375"
"2005-11";"SONIA";"4.7196"
"2005-11";"3M3";"4.6175"
"2005-11";"ESTR";
"2005-11";"EURIBOR";"2.473"
"2005-12";"SARON";"0.609864"
"2005-12";"1TGT";"0.63"
"2005-12";"EG3M";"0.9"
"2005-12";"3M0";"1.01"
"2005-12";"SOFR";
"2005-12";"3M1";"4.53625"
"2005-12";"TONA";"0.004"
"2005-12";"3M2";"0.06625"
"2005-12";"SONIA";"4.7627"
"2005-12";"3M3";"4.63938"
"2005-12";"ESTR";
"2005-12";"EURIBOR";"2.488"
"2006-01";"SARON";"0.828563"
"2006-01";"1TGT";"0.75"
"2006-01";"EG3M";"0.916"
"2006-01";"3M0";"1.02417"
"2006-01";"SOFR";
"2006-01";"3M1";"4.68"
"2006-01";"TONA";"0.001"
"2006-01";"3M2";"0.06813"
"2006-01";"SONIA";"4.7004"
"2006-01";"3M3";"4.59813"
"2006-01";"ESTR";
"2006-01";"EURIBOR";"2.547"
"2006-02";"SARON";"0.895374"
"2006-02";"1TGT";"0.91"
"2006-02";"EG3M";"1"
"2006-02";"3M0";"1.17583"
"2006-02";"SOFR";
"2006-02";"3M1";"4.8225"
"2006-02";"TONA";"0.002"
"2006-02";"3M2";"0.0925"
"2006-02";"SONIA";"4.6553"
"2006-02";"3M3";"4.57875"
"2006-02";"ESTR";
"2006-02";"EURIBOR";"2.664"
"2006-03";"SARON";"1.05294"
"2006-03";"1TGT";"1.03"
"2006-03";"EG3M";"1.091"
"2006-03";"3M0";"1.24917"
"2006-03";"SOFR";
"2006-03";"3M1";"5"
"2006-03";"TONA";"0.004"
"2006-03";"3M2";"0.11188"
"2006-03";"SONIA";"4.7528"
"2006-03";"3M3";"4.61188"
"2006-03";"ESTR";
"2006-03";"EURIBOR";"2.816"
"2006-04";"SARON";"1.187275"
"2006-04";"1TGT";"1.22"
"2006-04";"EG3M";"1.147"
"2006-04";"3M0";"1.34"
"2006-04";"SOFR";
"2006-04";"3M1";"5.13"
"2006-04";"TONA";"0.006"
"2006-04";"3M2";"0.1125"
"2006-04";"SONIA";"4.4299"
"2006-04";"3M3";"4.665"
"2006-04";"ESTR";
"2006-04";"EURIBOR";"2.852"
"2006-05";"SARON";"1.11309"
"2006-05";"1TGT";"1.16"
"2006-05";"EG3M";"1.26"
"2006-05";"3M0";"1.42333"
"2006-05";"SOFR";
"2006-05";"3M1";"5.23813"
"2006-05";"TONA";"0.021"
"2006-05";"3M2";"0.29813"
"2006-05";"SONIA";"4.6207"
"2006-05";"3M3";"4.71063"
"2006-05";"ESTR";
"2006-05";"EURIBOR";"2.926"
"2006-06";"SARON";"1.242492"
"2006-06";"1TGT";"1.27"
"2006-06";"EG3M";"1.326"
"2006-06";"3M0";"1.52"
"2006-06";"SOFR";
"2006-06";"3M1";"5.48063"
"2006-06";"TONA";"0.027"
"2006-06";"3M2";"0.355"
"2006-06";"SONIA";"4.7194"
"2006-06";"3M3";"4.75375"
"2006-06";"ESTR";
"2006-06";"EURIBOR";"3.056"
"2006-07";"SARON";"1.345125"
"2006-07";"1TGT";"1.3"
"2006-07";"EG3M";"1.334"
"2006-07";"3M0";"1.55"
"2006-07";"SOFR";
"2006-07";"3M1";"5.46563"
"2006-07";"TONA";"0.267"
"2006-07";"3M2";"0.41313"
"2006-07";"SONIA";"4.8059"
"2006-07";"3M3";"4.77688"
"2006-07";"ESTR";
"2006-07";"EURIBOR";"3.161"
"2006-08";"SARON";"1.370228"
"2006-08";"1TGT";"1.33"
"2006-08";"EG3M";"1.417"
"2006-08";"3M0";"1.68"
"2006-08";"SOFR";
"2006-08";"3M1";"5.3975"
"2006-08";"TONA";"0.266"
"2006-08";"3M2";"0.40094"
"2006-08";"SONIA";"4.8703"
"2006-08";"3M3";"4.9825"
"2006-08";"ESTR";
"2006-08";"EURIBOR";"3.264"
"2006-09";"SARON";"1.682963"
"2006-09";"1TGT";"1.61"
"2006-09";"EG3M";"1.569"
"2006-09";"3M0";"1.81083"
"2006-09";"SOFR";
"2006-09";"3M1";"5.37"
"2006-09";"TONA";"0.339"
"2006-09";"3M2";"0.42625"
"2006-09";"SONIA";"4.8972"
"2006-09";"3M3";"5.074"
"2006-09";"ESTR";
"2006-09";"EURIBOR";"3.417"
"2006-10";"SARON";"1.627171"
"2006-10";"1TGT";"1.59"
"2006-10";"EG3M";"1.681"
"2006-10";"3M0";"1.86"
"2006-10";"SOFR";
"2006-10";"3M1";"5.37063"
"2006-10";"TONA";"0.256"
"2006-10";"3M2";"0.44375"
"2006-10";"SONIA";"4.8876"
"2006-10";"3M3";"5.1925"
"2006-10";"ESTR";
"2006-10";"EURIBOR";"3.564"
"2006-11";"SARON";"1.768215"
"2006-11";"1TGT";"1.87"
"2006-11";"EG3M";"1.712"
"2006-11";"3M0";"1.95"
"2006-11";"SOFR";
"2006-11";"3M1";"5.37"
"2006-11";"TONA";"0.271"
"2006-11";"3M2";"0.51375"
"2006-11";"SONIA";"5.078"
"2006-11";"3M3";"5.25"
"2006-11";"ESTR";
"2006-11";"EURIBOR";"3.636"
"2006-12";"SARON";"1.897995"
"2006-12";"1TGT";"1.94"
"2006-12";"EG3M";"1.88"
"2006-12";"3M0";"2.1025"
"2006-12";"SOFR";
"2006-12";"3M1";"5.36"
"2006-12";"TONA";"0.275"
"2006-12";"3M2";"0.5675"
"2006-12";"SONIA";"5.201"
"2006-12";"3M3";"5.32"
"2006-12";"ESTR";
"2006-12";"EURIBOR";"3.725"
"2007-01";"SARON";"1.905279"
"2007-01";"1TGT";"2.02"
"2007-01";"EG3M";"1.996"
"2007-01";"3M0";"2.19"
"2007-01";"SOFR";
"2007-01";"3M1";"5.36"
"2007-01";"TONA";"0.282"
"2007-01";"3M2";"0.52063"
"2007-01";"SONIA";"5.3237"
"2007-01";"3M3";"5.59"
"2007-01";"ESTR";
"2007-01";"EURIBOR";"3.782"
"2007-02";"SARON";"1.835111"
"2007-02";"1TGT";"1.94"
"2007-02";"EG3M";"2.04"
"2007-02";"3M0";"2.22"
"2007-02";"SOFR";
"2007-02";"3M1";"5.34813"
"2007-02";"TONA";"0.589"
"2007-02";"3M2";"0.71063"
"2007-02";"SONIA";"5.3178"
"2007-02";"3M3";"5.53"
"2007-02";"ESTR";
"2007-02";"EURIBOR";"3.848"
"2007-03";"SARON";"1.979335"
"2007-03";"1TGT";"1.98"
"2007-03";"EG3M";"2.1"
"2007-03";"3M0";"2.295"
"2007-03";"SOFR";
"2007-03";"3M1";"5.35"
"2007-03";"TONA";"0.715"
"2007-03";"3M2";"0.66875"
"2007-03";"SONIA";"5.3123"
"2007-03";"3M3";"5.61688"
"2007-03";"ESTR";
"2007-03";"EURIBOR";"3.924"
"2007-04";"SARON";"2.066636"
"2007-04";"1TGT";"2.1"
"2007-04";"EG3M";"2.2"
"2007-04";"3M0";"2.35"
"2007-04";"SOFR";
"2007-04";"3M1";"5.355"
"2007-04";"TONA";"0.539"
"2007-04";"3M2";"0.67438"
"2007-04";"SONIA";"5.2935"
"2007-04";"3M3";"5.72625"
"2007-04";"ESTR";
"2007-04";"EURIBOR";"4.017"
"2007-05";"SARON";"2.165807"
"2007-05";"1TGT";"2.18"
"2007-05";"EG3M";"2.22"
"2007-05";"3M0";"2.47"
"2007-05";"SOFR";
"2007-05";"3M1";"5.36"
"2007-05";"TONA";"0.544"
"2007-05";"3M2";"0.68938"
"2007-05";"SONIA";"5.5491"
"2007-05";"3M3";"5.81063"
"2007-05";"ESTR";
"2007-05";"EURIBOR";"4.122"
"2007-06";"SARON";"2.418879"
"2007-06";"1TGT";"2.56"
"2007-06";"EG3M";"2.432"
"2007-06";"3M0";"2.7"
"2007-06";"SOFR";
"2007-06";"3M1";"5.36"
"2007-06";"TONA";"0.605"
"2007-06";"3M2";"0.76"
"2007-06";"SONIA";"6.4568"
"2007-06";"3M3";"6.00375"
"2007-06";"ESTR";
"2007-06";"EURIBOR";"4.175"
"2007-07";"SARON";"2.490651"
"2007-07";"1TGT";"2.5"
"2007-07";"EG3M";"2.476"
"2007-07";"3M0";"2.7075"
"2007-07";"SOFR";
"2007-07";"3M1";"5.35866"
"2007-07";"TONA";"0.516"
"2007-07";"3M2";"0.78125"
"2007-07";"SONIA";"5.7774"
"2007-07";"3M3";"6.04313"
"2007-07";"ESTR";
"2007-07";"EURIBOR";"4.26"
"2007-08";"SARON";"2.3134"
"2007-08";"1TGT";"2.35"
"2007-08";"EG3M";"2.476"
"2007-08";"3M0";"2.89667"
"2007-08";"SOFR";
"2007-08";"3M1";"5.62125"
"2007-08";"TONA";"0.498"
"2007-08";"3M2";"0.96875"
"2007-08";"SONIA";"6.1242"
"2007-08";"3M3";"6.6925"
"2007-08";"ESTR";
"2007-08";"EURIBOR";"4.735"
"2007-09";"SARON";"2.209981"
"2007-09";"1TGT";"2.2"
"2007-09";"EG3M";"2.008"
"2007-09";"3M0";"2.785"
"2007-09";"SOFR";
"2007-09";"3M1";"5.22875"
"2007-09";"TONA";"0.675"
"2007-09";"3M2";"1.02625"
"2007-09";"SONIA";"5.9288"
"2007-09";"3M3";"6.30375"
"2007-09";"ESTR";
"2007-09";"EURIBOR";"4.792"
"2007-10";"SARON";"2.118889"
"2007-10";"1TGT";"2.09"
"2007-10";"EG3M";"1.896"
"2007-10";"3M0";"2.75333"
"2007-10";"SOFR";
"2007-10";"3M1";"4.89375"
"2007-10";"TONA";"0.524"
"2007-10";"3M2";"0.89875"
"2007-10";"SONIA";"5.8079"
"2007-10";"3M3";"6.27938"
"2007-10";"ESTR";
"2007-10";"EURIBOR";"4.603"
"2007-11";"SARON";"2.115592"
