"CubeId";"amarbma"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2005-01";"T0";"162032"
"2005-02";"T0";"160451"
"2005-03";"T0";"155681"
"2005-04";"T0";"150671"
"2005-05";"T0";"145370"
"2005-06";"T0";"140661"
"2005-07";"T0";"139902"
"2005-08";"T0";"142359"
"2005-09";"T0";"142728"
"2005-10";"T0";"144066"
"2005-11";"T0";"146762"
"2005-12";"T0";"151764"
"2006-01";"T0";"154204"
"2006-02";"T0";"150099"
"2006-03";"T0";"143249"
"2006-04";"T0";"136360"
"2006-05";"T0";"129486"
"2006-06";"T0";"122837"
"2006-07";"T0";"121725"
"2006-08";"T0";"123074"
"2006-09";"T0";"121876"
"2006-10";"T0";"122765"
"2006-11";"T0";"124133"
"2006-12";"T0";"128580"
"2007-01";"T0";"131057"
"2007-02";"T0";"126395"
"2007-03";"T0";"117915"
"2007-04";"T0";"112829"
"2007-05";"T0";"106200"
"2007-06";"T0";"99781"
"2007-07";"T0";"99779"
"2007-08";"T0";"100757"
"2007-09";"T0";"99681"
"2007-10";"T0";"102039"
"2007-11";"T0";"104820"
"2007-12";"T0";"109012"
"2008-01";"T0";"111877"
"2008-02";"T0";"108457"
"2008-03";"T0";"103777"
"2008-04";"T0";"100880"
"2008-05";"T0";"95166"
"2008-06";"T0";"91477"
"2008-07";"T0";"92163"
"2008-08";"T0";"94039"
"2008-09";"T0";"95980"
"2008-10";"T0";"100471"
"2008-11";"T0";"107652"
"2008-12";"T0";"118762"
"2009-01";"T0";"128430"
"2009-02";"T0";"132402"
"2009-03";"T0";"134713"
"2009-04";"T0";"136709"
"2009-05";"T0";"135128"
"2009-06";"T0";"140253"
"2009-07";"T0";"145364"
"2009-08";"T0";"150831"
"2009-09";"T0";"154409"
"2009-10";"T0";"158138"
"2009-11";"T0";"163950"
"2009-12";"T0";"172740"
"2010-01";"T0";"175765"
"2010-02";"T0";"172999"
"2010-03";"T0";"166032"
"2010-04";"T0";"158570"
"2010-05";"T0";"151074"
"2010-06";"T0";"144473"
"2010-07";"T0";"142330"
"2010-08";"T0";"142879"
"2010-09";"T0";"140040"
"2010-10";"T0";"139365"
"2010-11";"T0";"141668"
"2010-12";"T0";"148636"
"2011-01";"T0";"148784"
"2011-02";"T0";"143325"
"2011-03";"T0";"134905"
"2011-04";"T0";"123448"
"2011-05";"T0";"114684"
"2011-06";"T0";"110378"
"2011-07";"T0";"109200"
"2011-08";"T0";"111687"
"2011-09";"T0";"111344"
"2011-10";"T0";"115178"
"2011-11";"T0";"121109"
"2011-12";"T0";"130662"
"2012-01";"T0";"134317"
"2012-02";"T0";"133154"
"2012-03";"T0";"126392"
"2012-04";"T0";"123158"
"2012-05";"T0";"118860"
"2012-06";"T0";"114868"
"2012-07";"T0";"116294"
"2012-08";"T0";"119823"
"2012-09";"T0";"120347"
"2012-10";"T0";"125536"
"2012-11";"T0";"132067"
"2012-12";"T0";"142309"
"2013-01";"T0";"148158"
"2013-02";"T0";"146001"
"2013-03";"T0";"138993"
"2013-04";"T0";"135851"
"2013-05";"T0";"131290"
"2013-06";"T0";"126498"
"2013-07";"T0";"128516"
"2013-08";"T0";"129956"
"2013-09";"T0";"131072"
"2013-10";"T0";"133443"
"2013-11";"T0";"139073"
"2013-12";"T0";"149437"
"2014-01";"T0";"153260"
"2014-02";"T0";"149259"
"2014-03";"T0";"142846"
"2014-04";"T0";"137087"
"2014-05";"T0";"130310"
"2014-06";"T0";"126632"
"2014-07";"T0";"127054"
"2014-08";"T0";"128434"
"2014-09";"T0";"129965"
"2014-10";"T0";"132397"
"2014-11";"T0";"136552"
"2014-12";"T0";"147369"
"2015-01";"T0";"150946"
"2015-02";"T0";"149921"
"2015-03";"T0";"145108"
"2015-04";"T0";"141131"
"2015-05";"T0";"136349"
"2015-06";"T0";"133256"
"2015-07";"T0";"133754"
