,,,,
Theme: Industry,,,,
"Subject: Building, Real Estate, Construction and Housing",,,,
Topic: Building and Construction,,,,
"Table Title: Demand For Construction Materials, Monthly",,,,
,,,,
Data last updated: 20/10/2023,,,,
Source: BUILDING AND CONSTRUCTION AUTHORITY,,,,
,,,,
,,,,
Data Series,Cement ,Steel Reinforcement Bars ,Granite ,Ready-Mixed Concrete 
  2023 Aug,378.3,174,1755.2,1113.5
  2023 Jul,426,141.5,1674.3,1046
  2023 Jun,335,135.1,1659.3,1020.3
  2023 May,398.8,152.2,1844.9,1041.6
  2023 Apr,315.7,67.2,1395.2,918.4
  2023 Mar,427.9,57.1,1561.4,1070.7
  2023 Feb,282.5,100.5,1455.1,897.3
  2023 Jan,440.7,79.2,1309.6,808.1
  2022 Dec,375.3,70.5,1692.1,992.6
  2022 Nov,296.3,51.2,1531.9,959.9
  2022 Oct,368.8,108.3,1554.5,930.7
  2022 Sep,346.6,174.4,1550.1,993.4
  2022 Aug,402.5,102.5,1491.5,982.6
  2022 Jul,342.2,178.9,1771.9,990.7
  2022 Jun,312,121.6,1588.6,1030
  2022 May,367.2,17.9,1534,891.4
  2022 Apr,415.7,140.3,1710.1,999.5
  2022 Mar,352.5,63.6,1705.3,1092.2
  2022 Feb,339.4,37.4,1333.3,781.7
  2022 Jan,422.5,90.6,1518.8,1035
  2021 Dec,366,8,1786.1,1094.6
  2021 Nov,316.7,17.6,1592.7,1007.3
  2021 Oct,413.4,61.8,1530.7,1016.3
  2021 Sep,408.2,51.9,1495.9,954.3
  2021 Aug,395.8,30.5,1499.4,949.2
  2021 Jul,378.5,83.7,1613.7,989.2
  2021 Jun,363.9,64.7,1302.8,1004
  2021 May,356.5,92.9,1311.3,920.6
  2021 Apr,369.4,218.7,1371.6,953.2
  2021 Mar,444.2,227.6,1471.8,1022.6
  2021 Feb,302.1,35.7,1284,835.1
  2021 Jan,360.2,3.9,1422,908.8
  2020 Dec,426,24.2,1602.9,927.7
  2020 Nov,366.8,9.4,1478.6,862
  2020 Oct,358.1,16,1391.8,849.3
  2020 Sep,306.5,5.2,983.8,701.3
  2020 Aug,67.8,59.2,320.3,464.9
  2020 Jul,7.2,9.9,97.1,130.9
