Month,Total Travel and Tourism-Related Exports,Year
January,"$5162000000,0",2021
January,"$9470000000,0",2005
January,"$9903000000,0",2022
January,"$9961000000,0",2006
January,"$10495000000,0",2007
January,"$11141000000,0",2009
January,"$12414000000,0",2008
January,"$13027000000,0",2010
January,"$13823000000,0",2011
January,"$15678000000,0",2012
January,"$15920000000,0",2023
January,"$17382000000,0",2013
January,"$17563000000,0",2020
January,"$18189000000,0",2014
January,"$18873000000,0",2017
January,"$18980000000,0",2016
January,"$19006000000,0",2015
January,"$19715000000,0",2019
January,"$20441000000,0",2018
February,"$4838000000,0",2021
February,"$9713000000,0",2005
February,"$9876000000,0",2006
February,"$10653000000,0",2007
February,"$10765000000,0",2022
February,"$10833000000,0",2009
February,"$12508000000,0",2008
February,"$12817000000,0",2010
February,"$13865000000,0",2011
February,"$16097000000,0",2012
February,"$16197000000,0",2023
February,"$17112000000,0",2020
February,"$17780000000,0",2013
February,"$18021000000,0",2014
February,"$18816000000,0",2017
February,"$18824000000,0",2015
February,"$18928000000,0",2016
February,"$20158000000,0",2019
February,"$20468000000,0",2018
March,"$5249000000,0",2021
March,"$9527000000,0",2020
March,"$9797000000,0",2006
March,"$9989000000,0",2005
March,"$10730000000,0",2009
March,"$10789000000,0",2007
March,"$11785000000,0",2022
March,"$12638000000,0",2008
March,"$13109000000,0",2010
March,"$14068000000,0",2011
March,"$15835000000,0",2012
March,"$16394000000,0",2023
March,"$17813000000,0",2014
March,"$18156000000,0",2013
March,"$18475000000,0",2017
March,"$18918000000,0",2016
March,"$19077000000,0",2015
March,"$20267000000,0",2019
March,"$20819000000,0",2018
April,"$4996000000,0",2020
April,"$5267000000,0",2021
April,"$9641000000,0",2005
April,"$9987000000,0",2006
April,"$10930000000,0",2007
April,"$11182000000,0",2009
April,"$12208000000,0",2008
April,"$13211000000,0",2010
April,"$13751000000,0",2022
April,"$14665000000,0",2011
April,"$16292000000,0",2012
April,"$17246000000,0",2023
April,"$17256000000,0",2013
April,"$18370000000,0",2014
April,"$18723000000,0",2016
April,"$18844000000,0",2015
April,"$19513000000,0",2017
April,"$20129000000,0",2018
April,"$20151000000,0",2019
May,"$4887000000,0",2020
May,"$6230000000,0",2021
May,"$9836000000,0",2005
May,"$10135000000,0",2006
May,"$10819000000,0",2007
May,"$11217000000,0",2009
May,"$12751000000,0",2008
May,"$13110000000,0",2010
May,"$13924000000,0",2022
May,"$14921000000,0",2011
May,"$16170000000,0",2012
May,"$17358000000,0",2013
May,"$17519000000,0",2023
May,"$18702000000,0",2014
May,"$18951000000,0",2016
May,"$19311000000,0",2015
May,"$19368000000,0",2017
May,"$20491000000,0",2018
May,"$20493000000,0",2019
June,"$4723000000,0",2020
June,"$6860000000,0",2021
June,"$9686000000,0",2005
June,"$9980000000,0",2006
June,"$10916000000,0",2007
June,"$10972000000,0",2009
June,"$12921000000,0",2008
June,"$13275000000,0",2010
June,"$13915000000,0",2022
June,"$15040000000,0",2011
June,"$16250000000,0",2012
June,"$17283000000,0",2023
June,"$17575000000,0",2013
June,"$18751000000,0",2014
June,"$19173000000,0",2016
June,"$19517000000,0",2017
June,"$19641000000,0",2015
June,"$20162000000,0",2019
June,"$20181000000,0",2018
July,"$4121000000,0",2020
July,"$7045000000,0",2021
July,"$9640000000,0",2005
July,"$10050000000,0",2006
July,"$11058000000,0",2007
July,"$11278000000,0",2009
July,"$12857000000,0",2008
July,"$13443000000,0",2010
July,"$14520000000,0",2022
July,"$15299000000,0",2011
July,"$16312000000,0",2012
July,"$17805000000,0",2013
July,"$18160000000,0",2023
July,"$18577000000,0",2014
July,"$19244000000,0",2016
July,"$19298000000,0",2015
July,"$19511000000,0",2019
July,"$19645000000,0",2017
July,"$20132000000,0",2018
August,"$3837000000,0",2020
August,"$7101000000,0",2021
August,"$9712000000,0",2005
August,"$10088000000,0",2006
August,"$11249000000,0",2007
August,"$11612000000,0",2009
August,"$12776000000,0",2008
August,"$13736000000,0",2010
August,"$14789000000,0",2022
August,"$15539000000,0",2011
August,"$16044000000,0",2012
August,"$17583000000,0",2013
August,"$18807000000,0",2014
August,"$19021000000,0",2023
August,"$19211000000,0",2016
August,"$19467000000,0",2015
August,"$19575000000,0",2017
August,"$19628000000,0",2019
August,"$20016000000,0",2018
September,"$3835000000,0",2020
September,"$7242000000,0",2021
September,"$9738000000,0",2005
September,"$10079000000,0",2006
September,"$11500000000,0",2007
September,"$11619000000,0",2009
September,"$12535000000,0",2008
September,"$13783000000,0",2010
September,"$15192000000,0",2022
September,"$15501000000,0",2011
September,"$16498000000,0",2012
September,"$17887000000,0",2013
September,"$18929000000,0",2014
September,"$19311000000,0",2016
September,"$19330000000,0",2015
September,"$19610000000,0",2019
September,"$19886000000,0",2017
September,"$20042000000,0",2018
October,"$4142000000,0",2020
October,"$7613000000,0",2021
October,"$9833000000,0",2005
October,"$10135000000,0",2006
October,"$11841000000,0",2007
October,"$12094000000,0",2009
October,"$12161000000,0",2008
October,"$13974000000,0",2010
October,"$15214000000,0",2011
October,"$15395000000,0",2022
October,"$16490000000,0",2012
October,"$18003000000,0",2013
October,"$18840000000,0",2014
October,"$19205000000,0",2016
October,"$19217000000,0",2015
October,"$19623000000,0",2018
October,"$19786000000,0",2019
October,"$19866000000,0",2017
November,"$4650000000,0",2020
November,"$9732000000,0",2005
November,"$10361000000,0",2006
November,"$10382000000,0",2021
November,"$11812000000,0",2008
November,"$12222000000,0",2007
November,"$12229000000,0",2009
November,"$14113000000,0",2010
November,"$15381000000,0",2011
November,"$15630000000,0",2022
November,"$16706000000,0",2012
November,"$18053000000,0",2013
November,"$18869000000,0",2014
November,"$19016000000,0",2016
November,"$19215000000,0",2015
November,"$19800000000,0",2019
November,"$19813000000,0",2018
November,"$20153000000,0",2017
December,"$4902000000,0",2020
December,"$9693000000,0",2005
December,"$10578000000,0",2006
December,"$11179000000,0",2021
December,"$11515000000,0",2008
December,"$12210000000,0",2009
December,"$12328000000,0",2007
December,"$14223000000,0",2010
December,"$15619000000,0",2011
December,"$15893000000,0",2022
December,"$16742000000,0",2012
December,"$18265000000,0",2013
December,"$18880000000,0",2014
December,"$18890000000,0",2016
December,"$19340000000,0",2015
December,"$19780000000,0",2019
December,"$19830000000,0",2018
December,"$20073000000,0",2017
