Month,Total Travel and Tourism-Related Imports,Year
January,"$3508000000,0",2021
January,"$8087000000,0",2005
January,"$8473000000,0",2006
January,"$8580000000,0",2022
January,"$8997000000,0",2007
January,"$9641000000,0",2009
January,"$9924000000,0",2008
January,"$10132000000,0",2010
January,"$10399000000,0",2011
January,"$10993000000,0",2013
January,"$11308000000,0",2014
January,"$11340000000,0",2012
January,"$11807000000,0",2015
January,"$12307000000,0",2016
January,"$12887000000,0",2020
January,"$13022000000,0",2017
January,"$14260000000,0",2018
January,"$15515000000,0",2019
January,"$17242000000,0",2023
February,"$3251000000,0",2021
February,"$8188000000,0",2005
February,"$8473000000,0",2006
February,"$9051000000,0",2007
February,"$9469000000,0",2009
February,"$9822000000,0",2022
February,"$9989000000,0",2008
February,"$10038000000,0",2010
February,"$10233000000,0",2011
February,"$11121000000,0",2013
February,"$11408000000,0",2014
February,"$11473000000,0",2015
February,"$11700000000,0",2012
February,"$12296000000,0",2016
February,"$13029000000,0",2017
February,"$13139000000,0",2020
February,"$14608000000,0",2018
February,"$15772000000,0",2019
February,"$17962000000,0",2023
March,"$3758000000,0",2021
March,"$5057000000,0",2020
March,"$8321000000,0",2005
March,"$8568000000,0",2006
March,"$9210000000,0",2007
March,"$9294000000,0",2009
March,"$10003000000,0",2008
March,"$10093000000,0",2010
March,"$10412000000,0",2011
March,"$11008000000,0",2022
March,"$11102000000,0",2013
March,"$11617000000,0",2015
March,"$11903000000,0",2012
March,"$12183000000,0",2016
March,"$12879000000,0",2014
March,"$12926000000,0",2017
March,"$15152000000,0",2018
March,"$15965000000,0",2019
March,"$17839000000,0",2023
April,"$821000000,0",2020
April,"$4135000000,0",2021
April,"$8231000000,0",2005
April,"$8927000000,0",2006
April,"$9366000000,0",2007
April,"$9606000000,0",2009
April,"$9846000000,0",2008
April,"$10264000000,0",2010
April,"$10783000000,0",2011
April,"$11073000000,0",2013
April,"$11466000000,0",2014
April,"$11766000000,0",2012
April,"$11914000000,0",2015
April,"$12445000000,0",2022
April,"$12497000000,0",2016
April,"$13093000000,0",2017
April,"$14718000000,0",2018
April,"$15489000000,0",2019
April,"$17219000000,0",2023
May,"$832000000,0",2020
May,"$4900000000,0",2021
May,"$8180000000,0",2005
May,"$8895000000,0",2006
May,"$9013000000,0",2009
May,"$9197000000,0",2007
May,"$9931000000,0",2008
May,"$10353000000,0",2010
