CPI for All Urban Consumers (CPI-U);;;;;;;;;;;;;;
Original Data Value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Series Id:;CUUR0000SETG01;;;;;;;;;;;;;
Not Seasonally Adjusted;;;;;;;;;;;;;;
Series Title:;Airline fares in U.S. city average, all urban consumers, not seasonally adjusted;;;;;;;;;;;;;
Area:;U.S. city average;;;;;;;;;;;;;
Item:;Airline fares;;;;;;;;;;;;;
Base Period:;1982-84=100;;;;;;;;;;;;;
Years:;2005 to 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;HALF1;HALF2
2005;217.7;220.9;226.8;234.9;240.0;245.6;249.7;244.2;240.8;244.3;240.7;233.8;;
2006;236.5;239.3;242.0;245.8;252.3;260.0;263.3;258.4;252.4;248.9;237.0;231.4;;
2007;237.021;242.627;246.331;248.807;249.760;256.723;259.543;255.105;252.919;257.409;258.116;255.873;;
2008;258.046;261.017;271.514;274.020;285.607;304.810;311.244;308.309;297.228;284.166;268.452;259.566;;
2009;255.621;251.829;250.561;248.943;247.675;252.803;259.585;259.351;262.848;265.696;270.069;270.667;;
2010;264.331;265.358;269.377;275.696;281.740;288.517;285.979;281.930;278.828;277.344;282.695;286.438;;
2011;290.243;298.099;306.256;309.087;307.310;307.804;307.798;308.670;307.065;304.031;302.635;299.315;;
2012;295.429;298.477;303.843;312.845;317.066;313.920;305.689;299.284;299.228;302.533;305.354;305.733;;
2013;306.603;309.283;315.303;318.815;326.500;325.321;315.789;303.848;301.476;310.012;318.197;301.357;;
2014;291.836;297.679;302.464;318.331;341.947;342.697;315.012;295.609;292.397;301.466;305.885;287.175;;
2015;283.152;288.626;287.362;294.603;319.401;324.953;297.324;277.768;274.897;285.837;294.143;278.658;;
2016;278.334;283.520;283.584;295.909;309.540;309.679;283.501;268.040;267.457;270.922;274.761;265.436;;
2017;269.241;280.517;283.583;294.034;300.609;296.384;276.308;259.359;259.143;267.297;267.970;254.947;;
2018;255.496;265.272;267.482;273.817;280.804;278.937;264.994;255.877;258.196;265.930;263.809;248.290;270.301;259.516
2019;248.433;259.049;259.698;268.767;283.275;283.001;268.314;259.849;263.149;269.871;268.994;252.411;267.037;263.765
2020;255.200;265.142;232.113;203.342;201.649;206.066;204.785;199.496;197.424;215.993;223.360;205.983;227.252;207.840
2021;200.825;197.204;197.134;222.953;250.209;256.684;243.613;212.882;198.975;205.994;215.159;208.954;220.835;214.263
2022;210.762;222.227;243.689;297.143;344.853;344.101;311.205;283.911;284.313;294.340;292.656;268.519;277.129;289.157
