"CubeId";"concon"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2005-Q1";"VW";"-28.20037106"
"2005-Q1";"EW";"4.43998739"
"2005-Q1";"VP";"62.59259259"
"2005-Q1";"EP";"44.63919616"
"2005-Q1";"SA";"-97.63483372"
"2005-Q1";"EA";
"2005-Q1";"VL";"-11.73472008"
"2005-Q1";"EL";"5.91958507"
"2005-Q1";"ASSS";"44.05638044"
"2005-Q1";"ZA";"-21.97565453"
"2005-Q1";"ESSS";
"2005-Q1";"AIK";"1.1120159"
"2005-Q1";"NIK";"-5.83770054"
"2005-Q2";"VW";"-24.03393025"
"2005-Q2";"EW";"-1.07803796"
"2005-Q2";"VP";"51.10497238"
"2005-Q2";"EP";"34.73771141"
"2005-Q2";"SA";"-100.56426685"
"2005-Q2";"EA";
"2005-Q2";"VL";"-10.74103836"
"2005-Q2";"EL";"3.97018189"
"2005-Q2";"ASSS";"43.68510398"
"2005-Q2";"ZA";"-23.03633349"
"2005-Q2";"ESSS";
"2005-Q2";"AIK";"-2.62169837"
"2005-Q2";"NIK";"-7.72130698"
"2005-Q3";"VW";"-35.31100478"
"2005-Q3";"EW";"-12.44618849"
"2005-Q3";"VP";"59.66542751"
"2005-Q3";"EP";"46.53313599"
"2005-Q3";"SA";"-107.6491315"
"2005-Q3";"EA";
"2005-Q3";"VL";"-10.44216558"
"2005-Q3";"EL";"3.42837884"
"2005-Q3";"ASSS";"39.71782402"
"2005-Q3";"ZA";"-16.42046855"
"2005-Q3";"ESSS";
"2005-Q3";"AIK";"-8.57667516"
"2005-Q3";"NIK";"-8.97011095"
"2005-Q4";"VW";"-33.05164319"
"2005-Q4";"EW";"-7.92314615"
"2005-Q4";"VP";"62.3255814"
"2005-Q4";"EP";"45.69483646"
"2005-Q4";"SA";"-100.02676412"
"2005-Q4";"EA";
"2005-Q4";"VL";"-11.9897175"
"2005-Q4";"EL";"4.66023565"
"2005-Q4";"ASSS";"48.48901585"
"2005-Q4";"ZA";"-17.01981775"
"2005-Q4";"ESSS";
"2005-Q4";"AIK";"-5.69922558"
"2005-Q4";"NIK";"-8.06811144"
"2006-Q1";"VW";"0"
"2006-Q1";"EW";"23.69204712"
"2006-Q1";"VP";"51.80388529"
"2006-Q1";"EP";"42.61897063"
"2006-Q1";"SA";"-85.56330039"
"2006-Q1";"EA";
"2006-Q1";"VL";"-4.58352417"
"2006-Q1";"EL";"5.3119579"
"2006-Q1";"ASSS";"44.96417894"
"2006-Q1";"ZA";"-14.87657513"
"2006-Q1";"ESSS";
"2006-Q1";"AIK";"10.43423218"
"2006-Q1";"NIK";"2.38597643"
"2006-Q2";"VW";"15.46589817"
"2006-Q2";"EW";"15.7436381"
"2006-Q2";"VP";"51.63398693"
"2006-Q2";"EP";"48.60324373"
"2006-Q2";"SA";"-71.78175771"
"2006-Q2";"EA";
"2006-Q2";"VL";"-2.97925896"
"2006-Q2";"EL";"5.65810546"
"2006-Q2";"ASSS";"41.76022253"
"2006-Q2";"ZA";"-13.04376678"
"2006-Q2";"ESSS";
"2006-Q2";"AIK";"6.63310145"
"2006-Q2";"NIK";"1.34467946"
"2006-Q3";"VW";"34.31839847"
"2006-Q3";"EW";"25.02614701"
"2006-Q3";"VP";"62.54681648"
"2006-Q3";"EP";"49.5099266"
"2006-Q3";"SA";"-49.73140904"
"2006-Q3";"EA";
"2006-Q3";"VL";"-5.08502857"
"2006-Q3";"EL";"11.11093628"
"2006-Q3";"ASSS";"41.57679525"
"2006-Q3";"ZA";"-13.26283832"
"2006-Q3";"ESSS";
"2006-Q3";"AIK";"14.00077131"
"2006-Q3";"NIK";"4.4473041"
"2006-Q4";"VW";"41.06280193"
"2006-Q4";"EW";"23.38585196"
"2006-Q4";"VP";"58.48880597"
"2006-Q4";"EP";"49.7109675"
"2006-Q4";"SA";"-44.52787447"
"2006-Q4";"EA";
"2006-Q4";"VL";"-5.66680538"
"2006-Q4";"EL";"6.44324304"
"2006-Q4";"ASSS";"40.80168441"
"2006-Q4";"ZA";"-6.59492241"
"2006-Q4";"ESSS";
"2006-Q4";"AIK";"10.84677717"
