"CubeId";"SNB20@SNB.CTR.REAL"
"PublishingDate";"2023-11-07 08:55"

"Date";"frequency";"DEFL";"CTRY";"Value"
"2005-01";"P1M";"CPI";"AR";"284.16602112"
"2005-01";"P1M";"CPI";"AT";"93.03057342"
"2005-01";"P1M";"CPI";"AU";"94.27002896"
"2005-01";"P1M";"CPI";"BE";"93.3618558"
"2005-01";"P1M";"CPI";"BG";"84.41541017"
"2005-01";"P1M";"CPI";"BR";"140.89640895"
"2005-01";"P1M";"CPI";"CA";"108.38884006"
"2005-01";"P1M";"CPI";"CL";"134.23678522"
"2005-01";"P1M";"CPI";"CN";"140.22131532"
"2005-01";"P1M";"CPI";"CYP";"90.94280545"
"2005-01";"P1M";"CPI";"CZ";"81.15838087"
"2005-01";"P1M";"CPI";"DE";"95.47324645"
"2005-01";"P1M";"CPI";"DK";"93.53911477"
"2005-01";"P1M";"CPI";"EE";"89.26269855"
"2005-01";"P1M";"CPI";"EG";"180.81659258"
"2005-01";"P1M";"CPI";"ES";"89.38929941"
"2005-01";"P1M";"CPI";"FI";"96.81402561"
"2005-01";"P1M";"CPI";"FR";"93.56099192"
"2005-01";"P1M";"CPI";"GB";"107.73055668"
"2005-01";"P1M";"CPI";"GR";"88.0378857"
"2005-01";"P1M";"CPI";"HK";"158.10067575"
"2005-01";"P1M";"CPI";"HR";"92.34627121"
"2005-01";"P1M";"CPI";"HU";"75.28238989"
"2005-01";"P1M";"CPI";"IE";"88.11597545"
"2005-01";"P1M";"CPI";"ILS";"147.82670607"
"2005-01";"P1M";"CPI";"IN";"116.20124077"
"2005-01";"P1M";"CPI";"IT";"91.67440161"
"2005-01";"P1M";"CPI";"JO";"131.80392376"
"2005-01";"P1M";"CPI";"JP";"138.05721365"
"2005-01";"P1M";"CPI";"KR";"109.51589755"
"2005-01";"P1M";"CPI";"LT";"94.1923098"
"2005-01";"P1M";"CPI";"LU";"92.81495503"
"2005-01";"P1M";"CPI";"LV";"107.80277999"
"2005-01";"P1M";"CPI";"MTL";"97.27046268"
"2005-01";"P1M";"CPI";"MX";"145.38761139"
"2005-01";"P1M";"CPI";"MY";"138.13567211"
"2005-01";"P1M";"CPI";"NL";"91.31923971"
"2005-01";"P1M";"CPI";"NO";"95.65951065"
"2005-01";"P1M";"CPI";"NZ";"82.15819005"
"2005-01";"P1M";"CPI";"PE";"126.3155123"
